MarkerNum,Atlas_Number,Title,IndexName,Address,City,County,CountyId,Utm_Zone,Utm_East,Utm_North,Code,Year,Rthl,Htc,Loc_Desc,PrivateProperty,ConditionText,Size,MarkerText,HasFiles,HasImages,HasMapLocation,latitude,longitude
208,5259000208,Arno Schwethelm Building,"Schwethelm, Arno, Building",                                                                                                                                                                                                        ,Comfort,Kendall,130,14,508887.0,3315215.0,"commercial buildings; design and construction; German immigrants/immigration; markets, merchantiles",1981.0,True,False,"7th and High Streets, Comfort",False,In Situ,Medallion and Plate,"Prominent local merchant Arno Schwethelm had this building constructed in 1916 to house his mercantile business, a leading Hill Country establishment. Designed by L. Harrington of San Antonio and built by stonemason Otto Bartel, it combines the function of a twentieth century commercial structure with the detail of German craftsmanship. Incorporated in the native limestone building are materials from an earlier structure at this site. Recorded Texas Historic Landmark - 1981",False,False,True,29.967746674834977,-98.90788657565946
235,5091000235,August Dietz Cottage,"Dietz, August, Cottage",197 E. Mill Street                                                                                                                                                                                      ,New Braunfels,Comal,46,14,584656.0,3286412.0,"houses, residential buildings; German immigrants/immigration",1974.0,True,False,"197 E. Mill St., New Braunfels",False,In Situ,Medallion and plate,"August Dietz came to Texas in 1849 as a German immigrant, and settled in New Braunfels. On Sept. 1, 1866, he bought this lot, soon built this cottage, and sold it on Dec. 2, 1867. At first a two room structure, the building was later enlarged. Its mortared rock walls are 20 inches thick. The beaded ceiling, the plain board ceiling, the window glass and casements, and front door are all original. House and additions were restored in 1973 by William J. Kolodize.** Recorded Texas Historic Landmark - 1974***",False,True,True,29.704945084155685,-98.12485466686181
236,5259000236,August Ebers House,"Ebers, August, House",                                                                                                                                                                                                        ,Fredericksburg,Kendall,130,14,517386.0,3334029.0,"houses, residential buildings; German immigrants/immigration",1983.0,True,False,from Comfort take Old State Road 9 fourteen miles to house in Bankersmith,False,In Situ,Medallion and Plate,"In 1860 August Ebers, a German immigrant, built the east portion of this stone house. It included a kitchen, a ""big room"", and an upstairs loft bedroom. Before 1880 he added the west wing. Ebers was killed in a well accident in 1884, and his family continued operating the farm. The home became a social center where community dances were held, and served as a polling place during elections. The home remained in the family until 1962. Recorded Texas Historic Landmark - 1983",False,False,True,30.137442454439803,-98.81948735717754
237,5259000237,August Faltin Building,"Faltin, August, Building",                                                                                                                                                                                                        ,Comfort,Kendall,130,14,508778.0,3314975.0,buildings; commercial buildings; Italianate; design and construction; German immigrants/immigration,1982.0,True,False,"Main and Seventh, Comfort",False,In Situ,"27"" x 42""","Prussian native Friedrich August Faltin (1830-1905) moved to Comfort in 1856 and purchased the general merchandise business of Theodor Goldbeck, located at this site. Trained in his father's store, which had been established about 1818 in Danzig, Prussia, now Gdansk, Poland, Faltin became a leading merchant of the Texas Hill Country. In addition, his 1869 partnership with Capt. Charles Schreiner of Kerrville became the nucleus of the vast Schreiner enterprises. By the late 1870s Faltin's business, which included banking and post office services, had outgrown the structure at this site and he had architect Alfred Giles of San Antonio design a new building. Constructed by the noted builder J. H. Kampmann, the Victorian Italian edifice was completed in 1879. Later run by Faltin's sons Richard and August S., the business was sold in 1907 to their brother-in-law Dan Holekamp and his sons Otto and Edgar. That same year an addition to the building was completed. Also designed by Giles, it included second floor space for meetings of fraternal and civic groups. In 1968 the property was sold back to the Faltin family. The August Faltin Building remains as a symbol of the area's early commercial growth. Recorded Texas Historic Landmark - 1982",False,False,True,29.965581545101127,-98.90901832847518
263,5167000263,Camp Wallace,Camp Wallace,SH 6                                                                                                                                                                               ,Hitchcock,Galveston,84,15,301508.0,3249345.0,World War II; military topics,1996.0,False,False,"SH 6 at entrance to Jack Brooks Park, Hitchcock. Marker reported missing. Replacement pending.",False,Missing,"27"" x 42"" with post","Named for World War I army Colonel Elmer J. Wallace, Camp Wallace was established as a training facility for military personnel during World War II. The U. S. government acquired more than 3,300 acres of land between the towns of Hitchcock and Alta Loma on State Highway 6 for placement of the facility. Construction began in November 1940. Before the erection of structures, 17 miles of access roads were built, 29 miles of electrical lines were installed, and a 2.9-mile spur rail track from the main rail line were laid. The site contained a total of 399 structures. Some buildings were constructed at Galveston's Fort Crockett and transported to the site, including a cold storage depot, bakery, laundry, and morgue. The camp contained a medical facility, 161 barracks, and a service club. By May 1941 the camp accommodated 10,250 people, including officers, enlisted personnel, and civilian staff. Training continued through World War II. The site also housed German prisoners of war. In April 1945, Camp Wallace was transferred to naval supervision, and later served as a distribution center releasing veterans back into civilian life. The site was used by the Red Cross in 1947 following the explosions at Texas City. The camp was declared surplus by the U. S. government in 1947. (1996) ",False,False,True,29.357621732197305,-95.04475864475097
312,5089000312,Bartels-Wirtz House,Bartels-Wirtz House,1216 Live Oak St.,Columbus,Colorado,45,14,737666.0,3288649.0,"houses, residential buildings; German immigrants/immigration; markets, merchantiles",1973.0,True,False,"1216 Live Oak St., Columbus; marker reported to be in storage 5/2011",False,Replacement In Progress,Medallion and Plate,"Distinctions of this Victorian cottage: gable window with star tracery, decorative bargeboard, carpenter's lace. Stained glass entrance doors are duplicated at back of the front hall. Anton Bartles, from Aldenburg, North Germany, came here in 1869; built this house about 1886; was an Alderman, 1889. Later owners have included the Will Wirtz family in 1920s and 30s; Felix Fehrenkamp; Mrs. Isabel Moeller. RTHL 1973",False,False,True,29.705230593126807,-96.5434185487715
353,5149000353,Beer Office and Bottling Company,Beer Office and Bottling Company,114 S. Main St.,La Grange,Fayette,75,14,704853.0,3310056.0,"manufacturing; factories, industrial buildings; Business topics, general; German immigrants/immigration",1983.0,True,False,"114 S Main St., La Grange.",False,In Situ,Medallion and Plate,"F. W. Grassmeyer commissioned German-Texan stonemasons to construct this Italianate style commercial building between 1856 and 1859. The structure served as a hotel until 1893, when German immigrant Fritz Presun purchased it as a regional sales office for large American breweries. In 1897 Presun added a bottling operation, The Crown Soda Factory. His son Henry continued the business and also sold oil and gas here. Recorded Texas Historic Landmark-1983",False,False,True,29.90415016987337,-96.87830141820808
366,5015000366,Early History of Bellville Methodist Church,"Bellville Methodist Church, Early History of",234 S. Masonic St.                                                                                                                                                                                      ,Bellville,Austin,8,14,764519.0,3316301.0,churches; Methodist (Methodist Episcopal and United Methodist) denomination,1986.0,False,False,,False,In Situ,"27"" x 42""","The heritage of Bellville Methodist Church dates to 1822, when Thomas B. Bell came to Texas from Florida with Stephen F. Austin's Old Three Hundred colonists. He settled in an area west of the Brazos River, and donated fifty acres of land between Piney and Caney Creeks to be used for a church and camp meetings. When Methodist missionary Henry Stephenson arrived in Texas in 1834, he found plans underway for a camp meeting. At an 1835 meeting, future Alamo hero William Barret Travis was a featured speaker, and promised to assist in the effort to bring Methodist preachers to Texas. Missionary Robert Alexander conducted services at the Caney Creek camp meeting site in August 1839. Methodists continued to use the campground for worship services until the early 1880s, when the land was sold. Funds from the sale were used to build a German Methodist Episcopal Church in Bellville in 1882. The building was used by German and English speaking congregations on alternate Sundays. The Methodist Episcopal Church, south, was organized in 1886, and a new sanctuary was completed on this site that year. The Rev. J.P. Childers served as the first minister. Texas Sesquicentennial 1836-1986",False,False,True,29.94906257166229,-96.25931059756267
382,5259000382,Beseler Family,Beseler Family,                                                                                                                                                                                                        ,Welfare,Kendall,130,14,520620.0,3308722.0,"county official; railroads; settlements; German immigrants/immigration; markets, merchantiles",1996.0,False,False,"223-A Waring-Welfare Road, Welfare",False,In Situ,"18"" x 28""","Carl Joseph and Augusta Beseler and their two sons immigrated from Germany to Texas in 1848. They settled in Kendall County on a land grant in the 1850s. The community of Welfare was established on the Beseler land grant. The Beselers' son Ernst died in the Battle of Nueces. His brother Carl Philipp was instrumental in building Welfare into a railroad shipping point in the 1880s. Carl Philipp served as justice of the peace, postmaster, county commissioner, and tax assessor. The general store is among the few physical remnants of the community of Welfare. (1996)",False,False,True,29.90900857200485,-98.78640018586884
383,5259000383,Beseler House,Beseler House,518 North Main Street,Boerne,Kendall,130,14,525510.0,3296519.0,"houses, residential buildings; Victorian (architectural term); German immigrants/immigration",1985.0,True,False,,False,In Situ,Medallion and Plate,"Civic leader and Boerne businessman Maxmillian Beseler (1866-1939) had this stone Victorian cottage built for his parents, Charles and Minna Beseler, in 1903. A native of Prussia, Charles Beseler came to Texas in 1848 and served for many years as a Kendall County public official. Constructed by Ed Clemens of locally quarried rock, the home features a curved front porch, decorative woodwork, and shingle detailing. It remained in the Beseler family for over 80 years. Recorded Texas Historic Landmark - 1985.",False,False,True,29.79878821576004,-98.73603563677914
396,5149000396,Bethlehem Church,Bethlehem Church,412 S. White St.                                                                                                                                                                 ,Round Top,Fayette,75,14,721750.0,3328002.0,Lutheran denomination; eccesiastical buildings; German immigrants/immigration; music; artists; churches,1965.0,True,False,"S. White St., SW side 300 feet SW of Bauer Rummel Rd.",False,In Situ,Medallion and Plate,"Magna Gloria Deo. A center of Lutheran faith in Fayette County. Dedicated Oct. 28, 1866 with Rev. Adam Neuthard as first pastor. Unique pipe organ of cedar built by Traugott Wandke. Stone construction shows German architectural style. Recorded Texas Historic Landmark - 1965 ",False,False,True,30.063045065263434,-96.6996806405878
445,5259000445,Boerne Cemetery,Boerne Cemetery,                                                                                                                                                                                                        ,Boerne,Kendall,130,14,525367.0,3297055.0,cemetery; German immigrants/immigration,1986.0,False,False,"at main gate of Boerne Cemetery, north side of Boerne on School Street, just of North Main (US 87)",False,In Situ,"18"" x 28""","When Adam Vogt (1822-1882) deeded land for this cemetery to the city in 1867, there were already some graves present. The earliest documented burial, that of Anton Peter Loth, dates to 1862. In the older sections of the cemetery are graves of area pioneers and German immigrants, including Vogt and George Wilkins Kendall (1809-1867), for whom the county was named. A row of paupers' graves may also be seen. Land acquisitions over the years have increased the size of the graveyard. Boerne Cemetery serves as a reflection of the area's rich history. Texas Sesquicentennial 1836-1986 Boerne Cemetery Established 1867 Historic Texas Cemetery - 2000",False,False,True,29.803628448579605,-98.73750268579495
446,5217000446,Boesch House,Boesch House,401 San Jacinto Street,Whitney,Hill,109,14,658673.0,3536578.0,"houses, residential buildings; German immigrants/immigration",1983.0,False,False,"401 San Jacinto Street, Whitney",False,In Situ,"18"" x 28""","When Whitney town lots were auctioned in 1879, German native Edouard Boesch (1842-1911), an east Texas lumber wholesaler, shipped the first load of lumber for the new town. Three years later he moved here and bought the lumberyard of William Cameron. Boesch became one of Whitney's leading residents and served as a school trustee for fourteen years. In 1885, he and his wife Emma built this two-story residence. Designed to withstand storms such as the tornado that struck the town that year, it was constructed on a foundation of heavy cypress timbers.",False,False,True,31.954094321186744,-97.32106933693883
463,5035000463,Bosque County,Bosque County,SH 6                                                                                                                                                                        ,Meridian,Bosque,18,14,626297.0,3531861.0,counties,1936.0,False,False,"Roadside pulloff, E side of SH 6 at SH 22 intersection on SW side of Meridian. Inscription plate replaced in 1973.",False,In Situ,1936 Texas Centennial - highway marker (pink granite),"Named for the Bosque (Spanish for ""woods"") River. The territory now part of this county was traversed in 1841 by the Texan-Santa Fe Expedition. Maj. George B. Erath, noted surveyor and soldier, explored the region prior to its settlement. The first colonists established homes in 1850-51. Among the national groups who immigrated here were the English (at Kent), Norwegians (at Norse and elsewhere), and the Germans (in eastern part of county). Formally created and organized in 1854, Bosque county has traditionally had farming-ranching economy. The Chisholm cattle trail crossed the area in the 1870s. Erected by the State of Texas - 1973",False,False,True,31.915617208385683,-97.66416776930022
474,5029000474,Bowen's Island,Bowen's Island,St. Mary's St.                                                                                                                                                                                  ,San Antonio,Bexar,15,14,549884.0,3255739.0,geology; fairs and festivals; German immigrants/immigration; water topics,1985.0,False,False,"N. Side of Tower life bldg, River level, St. Mary's & La Villita, San Antonio",False,In Situ,"27"" x 42""","This tract of land is a natural peninsula in the San Antonio River. It once was bounded by the river on three sides and on the fourth by the Concepcion Acequia. In 1845 John Bowen, a native of Philadelphia, bought the property from Maria Josefa Rodriguez de Yturri for $300. Bowen and his wife, Mary Elizabeth, built a seven-room home on the island for their family of six children. Here they planted fruit trees and gravevines. On the east bank of the river, they built a waterwheel to irrigate their truck farm. During the 1840s and 1850s John Bowen served San Antonio as United States postmaster and city treasurer. He was a staunch Unionist and, according to family tradition, protected fugitive slaves. John Bowen died on the island in 1867 and was buried here. Bowen's Island was a well-known garden spot and a popular setting for social gatherings and celebrations. Here the first Volksfest was held, and the Turnverein, and German Athletic Club, performed. During the 1870s it was the site of Wolfram's Central Garden, a pleasure resort. Mary Elizabeth Bowen died in 1903. During the 1920s the river was diverted, and Bowen's Island became part of the San Antonio mainland. (1985)",False,False,True,29.43001380965442,-98.48570412478223
492,5091000492,The Braschler House,Braschler House,240 S. Kowald Ln.,New Braunfels,Comal,46,14,588588.0,3287469.0,"Lutheran denomination; houses, residential buildings; stagecoach routes, stands, etc.; religious leaders; Presbyterian denomination",1974.0,True,False,"S. Kowald Ln., SW side 80 feet SE of Sophie Ln. on private property.",True,Access Restricted,RTHL medallion and plate," Built in 1854 by the Rev. Henry Braschler (b.1818 in Switzerland) who came to Texas in 1848 and served as pastor in nearby St. Martin Lutheran Church, 1852-57. Of caliche and cedar fachwerk, house was later enlarged and accordng to tradition, became a stage stop on Bastrop Road. In its family burial plot is grave of Maren Hander (b. 1805 in Denmark) great-grandmother of Ethel Geue and May Bourgeois, who bought the house in 1970 and restored it. Recorded Texas Historic Landmark -1974",False,True,True,29.714208478558,-98.08412463528836
501,5091000501,Breustedt House,Breustedt House,1370 Church Hill Drive                                                                                                                                                                                  ,New Braunfels,Comal,46,14,587392.0,3286906.0,"houses, residential buildings; German immigrants/immigration",1972.0,True,False,"Heritage Village, Museum of Texas Handmade Furniture",False,In Situ,Medallion and plate,"A fine example of German colonial ""fachwerk"" --all walls framed with cedar timbers, then filled solid with sun-baked adobe brick.Built 1858 for Johann Andreas and Caroline (Dauer) Breustedt, at site now just west of the intersection of I.S. 35 and S.H. 46 east. Several generations of the family grew up in the house.In 1965 it was moved here for restoration and preservation by Mr. and Mrs. W.H. Dillen.Recorded Texas Historic Landmark-1972",False,True,True,29.70921297815447,-98.09653379414135
509,5485000509,Bridgetown,Bridgetown,"SH 240, W of Burkburnett                                                                                                                                                                                ",Burkburnett,Wichita,243,14,530185.0,3772998.0,oil/petroleum topics; ghost towns,1977.0,False,False,From Burkburnett take South 240 about 5 miles West to Marker,False,In Situ,"27"" x 42""","When the northwest extension of the Burkburnett oil field opened in 1919, prospectors thronged this area. Bridgetown sprang up at the Texas end of a mile-long Red River toll bridge built for oil field traffic. It became the largest and wealthiest of 12 communities that mushroomed in this area during rivalry among major oil companies and independent producers. Lease values rose from $10 to $20,000 an acre. A city of tents, shanties and a few substantial structures, Bridgetown had a long main street with a Mission church at one end and a saloon at the other. Its post office opened July 15, 1920. The population in the early 1920s was estimated at 3,500 to 10,000. Litigation over riverbed oil rights caused the U.S. Supreme Court to station a receiver in the town. He was Frederick A. Delano, uncle of future president Franklin D. Roosevelt. With aid from Texas Rangers, Delano and other leaders invoked law and order. In a few years oil yields diminished, and the jail, theaters, dance halls, and gambling houses vanished. By 1929 only 100 inhabitants remained. By 1931 the bridge was down, the post office closed in 1935. Afterward the site of the makeshift oil ""capital"" reverted to range and agricultural uses. (1977) ",False,False,True,34.09734674189066,-98.67276487789697
539,5061000539,Brownsville City Cemetery,Brownsville City Cemetery,                                                                                                                                                                                                        ,Brownsville,Cameron,31,14,650301.0,2866274.0,cemetery; French immigrants/immigration; Spanish immigrants/immigration; Mexican immigrants/immigration; German immigrants/immigration; English immigrants/immigration,1983.0,False,False,"Fifth and East Madison Streets, Brownsville.",False,In Situ,"27"" x 42""","Although this cemetery was not formally deeded to the City of Brownsville until 1868, dates on marked tombstones indicate the site was being used as a graveyard by the late 1850s. Buried here are some of the earliest settlers to arrive in this part of the Rio Grande Valley, including The Rev. Hiram Chamberlain (1797-1866), who founded the First Presbyterian Church in Brownsville and whose daughter Henrietta married noted South Texas rancher Richard King. Others buried here include city and county government leader Joseph Webb (1850-1933), Sheriff Santiago Brito (1851-1892), first Mayor and County Judge Israel Bigelow (1811-1869), and Mexican War surgeon Charles MacManus (1824-1906). The Brownsville City Cemetery reveals much of the city's history. Victims of wars, gunfights, yellow fever, and cholera are buried here, and their graves are evidence of early conditions in the border town. The number of above-ground crypts, ornate monuments, and ironwork fences reflects the Spanish-French influence in the area. English, French, Spanish, and German tombstone inscriptions are indicative of the city's ethnic mixture. Still in use after more than one hundred years, the Brownsville City Cemetery continues to serve as a historic reminder of the region's rich heritage.",False,False,True,25.907263692688744,-97.49943953448445
545,5089000545,Brunson Building,Brunson Building,1014 Milam Street                                                                                                                                                                                       ,Columbus,Colorado,45,14,737921.0,3288944.0,saloons; commercial buildings; German immigrants/immigration,1973.0,True,False,"1014 Milam St., Columbus",False,In Situ,Medallion and Plate,"Charles Brunson (1830-1916), born in Westphalia, Germany, migrated to America in 1845. About 1867 he settled in Columbus, establishing a saloon, which prospered. In 1891 he erected this building, adding adjacent store in 1896. Used as saloon until about 1919, building later had other occupancies. Except for lowering of canopy and some changes in windows, it retains original Victorian style. Allen Wendel has owned this property since 1970. ",False,False,True,29.70784160293614,-96.54071997074267
546,5215000546,Brushwood Cemetery,Brushwood Cemetery,1701 E. Richardson Rd.                                                                                                                                                                       ,Edinburg,Hidalgo,108,14,585705.0,2909817.0,cemetery; Spanish immigrants/immigration; German immigrants/immigration; Irish immigrants/immigration,1992.0,False,False,"Brushwood Cemetery, N side between I-69C and N. M Rd.",False,In Situ,"18"" x 28""","Brushwood Cemetery was established as a municipal burial ground for the town of Chapin (now Edinburg) in 1913, five years after the town's founding. The earliest known burial here was that of Antonia Hernandez de Ramos, who died in 1913. Older graves dating to 1898 were relocated here from El Granjeno Cemetery near the town of Mission. More than 1,000 graves are located here. Tombstones bear Anglo, Spanish, German, and Irish surnames and document the diversity of peoples that helped build Edinburg and other communities in the vicinity. (1992)",False,False,True,26.305641377521727,-98.141400754702
